Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WC2_305a.R1	WC2_305a.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1599501.0	232.6 Mbp	0.0	31-146	41.0	5.865641847051049	145.45337889754367	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC2_305a.R2	WC2_305a.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1599501.0	240 Mbp	0.0	31-151	45.0	10.294099770572734	150.13465449537074	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC2_305b.F	WC2_305b.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4211910.0	614.9 Mbp	0.0	146.0	41.0	5.123388371461896	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC2_305b.R	WC2_305b.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4211910.0	635.9 Mbp	0.0	151.0	46.0	9.879693223510733	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC2_305b.R1	WC2_305b.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4173942.0	605.8 Mbp	0.0	31-146	41.0	4.923994714995234	145.15473022864236	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC2_305b.R2	WC2_305b.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4173942.0	625.3 Mbp	0.0	31-151	45.0	9.180808640144077	149.85055350553506	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC2_305c.F	WC2_305c.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3256451.0	475.4 Mbp	0.0	146.0	41.0	6.239928966883186	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC2_305c.R	WC2_305c.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3256451.0	491.7 Mbp	0.0	151.0	46.0	11.24866209295444	151.0	151	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC2_305c.R1	WC2_305c.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3228766.0	468.3 Mbp	0.0	31-146	41.0	5.945347782863355	145.07952418973687	146	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC2_305c.R2	WC2_305c.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3228766.0	483.3 Mbp	0.0	29-151	46.0	10.595371612881777	149.72052263929936	151	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_467.F	WC3_467.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4127063.0	602.5 Mbp	0.0	146.0	41.0	4.21706808166967	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_467.R	WC3_467.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4127063.0	623.1 Mbp	0.0	151.0	45.0	8.370781605889919	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_467.R1	WC3_467.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4096021.0	596 Mbp	0.0	31-146	41.0	4.040826919827585	145.5276181445359	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_467.R2	WC3_467.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4096021.0	615.3 Mbp	0.0	31-151	45.0	7.812681453341741	150.24570430669178	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_468.F	WC3_468.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2820303.0	411.7 Mbp	0.0	146.0	41.0	5.498333130942608	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_468.R	WC3_468.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2820303.0	425.8 Mbp	0.0	151.0	45.0	10.779516621628895	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_468.R1	WC3_468.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2795417.0	405.8 Mbp	0.0	31-146	41.0	5.287442465169375	145.19752652287656	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_468.R2	WC3_468.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2795417.0	418.9 Mbp	0.0	19-151	45.0	10.013451625934335	149.91202779406436	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_469.F	WC3_469.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2804683.0	409.4 Mbp	0.0	146.0	42.0	6.720347077613837	146.0	146	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
WC3_469.R	WC3_469.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2804683.0	423.5 Mbp	0.0	151.0	46.0	13.142113192975478	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_469.R1	WC3_469.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2773023.0	401.8 Mbp	0.0	31-146	41.0	6.450598658423788	144.93242320745267	146	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
WC3_469.R2	WC3_469.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2773023.0	414.4 Mbp	0.0	31-151	46.0	12.410447096462688	149.50418153762158	151	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
WC3_471.F	WC3_471.F.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2438816.0	356 Mbp	0.0	146.0	41.0	6.255325909700922	146.0	146	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
WC3_471.R	WC3_471.R.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2438816.0	368.2 Mbp	0.0	151.0	46.0	12.242435423085375	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
